title,author,status,rating,lgbtq_rep,dynasty,is_favorite,start_date,end_date
人间值得,中村恒子,read,5,,,,2023-01-12,2023-01-12
细说秦汉,黎东方,read,3,,兩漢,,2023-01-16,2023-01-16
中国政治常识,吕思勉,read,3,,全部,,2023-01-21,2023-01-21
大国大民：王志纲话说中国人,王志纲,read,4,,全部,,2023-01-24,2023-01-24
中国近代史,蒋廷黻,read,4,,近代,,2023-01-24,2023-01-24
我的前半生,愛新覺羅·溥儀,read,4,,兩漢,,2023-01-29,2023-01-29
骆驼祥子,老舍,read,4,,近代,,2023-02-18,2023-02-18
满天星斗：苏秉琦论远古中国,苏秉琦,dropped,2.5,,先秦,,2023-02-25,2023-02-25
商文明,张光直,dropped,2,,先秦,,2023-03-16,2023-03-16
西周史,杨宽,dropped,2,,先秦,,2023-03-16,2023-03-16
拿得起放不下的春秋史,烽武野,read,5,,先秦,,2023-03-26,2023-03-26
坐天下：张宏杰解读中国帝王,张宏杰,read,5,,清代,,2023-04-05,2023-04-05
中国国民性演变历程,张宏杰,read,4,,全部,,2023-04-11,2023-04-11
千年悖论,张宏杰,read,3,,全部,,2023-05-01,2023-05-01
伪满洲国,迟子建,read,3.5,,近代,,2023-05-03,2023-05-03
简牍中国史,张宏杰,read,4,,全部,,2023-05-08,2023-05-08
中国哲学简史,冯友兰,read,4,,全部,,2023-05-28,2023-05-28
哲学家们都干了些什么？,林欣浩,read,4.5,,全部,,2023-06-11,2023-06-11
中国文化课,余秋雨,read,5,,全部,,2023-06-25,2023-06-25
六神磊磊读唐诗,王晓磊,read,5,,唐代,,2023-07-09,2023-07-09
文化苦旅,余秋雨,read,4,,全部,,2023-07-17,2023-07-17
简牍中国史2,张宏杰,read,2.5,,全部,,2023-07-20,2023-07-20
时间从来不语，却回答了所有问题,季羡林,read,4,,,,2023-07-25,2023-07-25
中国文学常识,郑振铎,read,3,,全部,,2023-07-27,2023-07-27
秦崩：从秦始皇到刘邦的秘密,李开元,read,4.5,,兩漢,,2023-08-11,2023-08-11
秦谜：重新发现秦始皇,李开元,read,4.5,,兩漢,,2023-08-19,2023-08-19
楚亡：从项羽到韩信,李开元,read,4.5,,兩漢,,2023-08-21,2023-08-21
长安的荔枝,马伯庸,read,4.5,,唐代,,2023-09-07,2023-09-07
