title,type,status,rating,lgbtq_rep,dynasty,watched_seasons,watched_episodes,is_favorite,start_date,end_date,notes
Marvel's Jessica Jones,tv,watched,3.5,,,,,,2020-12-31,2020-12-31,Jessica Jones notes
Marvel's Daredevil,tv,watched,3.5,,,,,,2020-12-31,2020-12-31,Daredevil notes
Marvel's Iron Fist,tv,watched,2,,,,,,2020-12-31,2020-12-31,
Marvel's The Defenders,tv,watched,2.5,,,,,,2020-12-31,2020-12-31,
Legion,tv,watched,2,,,,,,2020-12-31,2020-12-31,
Beyond (2017),tv,watched,2,,,,,,2020-12-31,2020-12-31,
Once Upon a Time,tv,watched,3.5,some,,,,,2020-12-31,2020-12-31,
Travelers,tv,watched,4,,,,,,2020-12-31,2020-12-31,
Timeless,tv,watched,3,,,,,,2020-12-31,2020-12-31,
Orphan Black,tv,watched,3.5,significant,,,,,2020-12-31,2020-12-31,
Altered Carbon,tv,watched,4,,,,,,2020-12-31,2020-12-31,
Dark,tv,watched,3.5,,,,,,2020-12-31,2020-12-31,
The Originals,tv,watched,3,,,,,,2020-12-31,2020-12-31,
Marvel's Runaways,tv,watched,2.5,some,,,,,2020-12-31,2020-12-31,
The 100,tv,watched,5,significant,,,,yes,2020-12-31,2020-12-31,
Kipo and the Age of Wonderbeasts,tv,watched,3,,,,,,2020-12-31,2020-12-31,
Maniac,tv,watched,4,,,,,,2020-12-31,2020-12-31,
Wu Assassins,tv,watched,2.5,,,,,,2020-12-31,2020-12-31,
Supergirl,tv,watched,3.5,some,,,,,2020-12-31,2020-12-31,
Lucifer,tv,watched,3.5,some,,,,,2021-12-31,2021-12-31,
Legacies,tv,watched,3,significant,,,,,2021-12-31,2021-12-31,
DC's Legends of Tomorrow,tv,watched,3,some,,,,,2021-12-31,2021-12-31,
Wandavision,tv,watched,3.5,,,,,,2021-12-31,2021-12-31,
Loki,tv,watched,3.5,,,,,,2021-12-31,2021-12-31,
The Falcon and the Winter Soldier,tv,watched,3.5,,,,,,2021-12-31,2021-12-31,
Moon Knight,tv,watched,3,,,,,,2021-12-31,2021-12-31,
Marvel's Cloak & Dagger,tv,watched,3.5,,,,,,2021-12-31,2021-12-31,
Secret Invasion,tv,watched,3,,,,,,2023-12-31,2023-12-31,
The Peripheral,tv,watched,3,,,,,,2025-12-31,2025-12-31,
What we do in the Shadows,tv,watched,5,,,,,yes,2021-12-31,2025-12-31,
The Umbrella Academy,tv,watched,3,some,,,,,2021-12-31,2026-03-31,
Love Death & Robots,tv,watched,3.5,,,,,,2019-12-31,2026-03-31,
The Big Bang Theory,tv,watched,5,,,,,yes,2020-12-31,2020-12-31,
Modern Family,tv,watched,4.5,,,,,yes,2020-12-31,2020-12-31,
The Good Place,tv,watched,4.5,,,,,yes,2020-12-31,2020-12-31,
Crazy Ex-Girlfriend,tv,watched,4,,,,,,2020-12-31,2020-12-31,
Parks and Recreation,tv,watched,5,,,,,yes,2020-12-31,2020-12-31,
Master of None,tv,watched,3,,,,,,2020-12-31,2020-12-31,
Exes & Ohs,tv,watched,2.5,significant,,,,,2020-12-31,2020-12-31,
